home_team,away_team,home_team_goals,away_team_goals,home_team_age,away_team_age,date
South Korea,Malaysia,3,3,29.272727272727273,29.363636363636363,2024-01-25T11:30:00Z
South Korea,Oman,1,1,30.545454545454547,29.818181818181817,2025-03-20T11:00:00Z
South Korea,Bolivia,2,0,29.636363636363637,23.545454545454547,2025-11-14T11:00:00Z
Mexico,South Korea,2,2,26.272727272727273,27.09090909090909,2025-09-10T01:30:00Z
South Korea,Singapore,5,0,28.09090909090909,29.09090909090909,2023-11-16T11:00:00Z
South Korea,Singapore,5,0,28.09090909090909,29.09090909090909,2023-11-16T11:00:00Z
Iraq,South Korea,2,0,26.545454545454547,29.0,2025-06-05T18:15:00Z
South Korea,Japan,0,1,28.818181818181817,27.90909090909091,2025-07-15T10:24:00Z
South Korea,Kuwait,4,0,25.727272727272727,27.363636363636363,2025-06-10T11:00:00Z
Switzerland,Kosovo,4,0,29.181818181818183,27.818181818181817,2025-09-05T18:45:00Z
Kosovo,Switzerland,1,1,27.181818181818183,28.727272727272727,2025-11-18T19:45:00Z
Kosovo,Switzerland,2,2,27.5,29.0,2023-09-09T18:45:00Z
Belarus,Switzerland,5,0,27.09090909090909,29.454545454545453,2023-03-25T17:00:00Z
Hungary,Switzerland,3,1,28.454545454545453,29.90909090909091,2024-06-15T13:00:00Z
Switzerland,Germany,3,4,30.181818181818183,29.0,2026-03-27T19:45:00Z
Switzerland,Germany,1,1,29.545454545454547,29.22222222222222,2024-06-23T19:00:00Z
Switzerland,Romania,2,2,28.818181818181817,26.363636363636363,2023-06-19T18:45:00Z
USA,Switzerland,4,0,25.636363636363637,27.545454545454547,2025-06-11T00:00:00Z
Switzerland,Slovenia,3,0,29.181818181818183,27.454545454545453,2025-09-08T18:45:00Z
Slovenia,Switzerland,0,0,27.363636363636363,29.636363636363637,2025-10-13T18:45:00Z
Brazil,Switzerland,0,1,28.0,27.272727272727273,2022-11-28T16:00:00Z
Scotland,Switzerland,1,1,28.454545454545453,30.454545454545453,2024-06-19T19:00:00Z
Switzerland,Cameroon,1,0,28.272727272727273,27.454545454545453,2022-11-24T10:00:00Z
Switzerland,Luxembourg,3,1,28.454545454545453,26.545454545454547,2025-03-25T19:45:00Z
Andorra,Switzerland,2,1,25.09090909090909,28.0,2023-06-16T18:45:00Z
Sweden,Switzerland,2,0,26.09090909090909,29.181818181818183,2025-10-10T18:45:00Z
Switzerland,Sweden,4,1,28.727272727272727,25.272727272727273,2025-11-15T19:45:00Z
Norway,Switzerland,0,0,28.0,28.818181818181817,2026-03-31T16:00:00Z
Mexico,Switzerland,4,2,25.727272727272727,28.818181818181817,2025-06-07T20:00:00Z
Serbia,Switzerland,3,2,26.11111111111111,28.666666666666668,2022-12-02T19:00:00Z
Switzerland,Israel,3,0,28.636363636363637,26.636363636363637,2023-03-28T18:45:00Z
Azerbaijan,Belgium,1,0,26.454545454545453,27.272727272727273,2023-09-09T13:00:00Z
Belgium,Azerbaijan,5,0,26.272727272727273,27.0,2023-11-19T17:00:00Z
Belgium,Austria,1,1,26.636363636363637,26.636363636363637,2023-06-17T18:45:00Z
Austria,Belgium,3,2,25.363636363636363,26.363636363636363,2023-10-13T18:45:00Z
England,Belgium,2,2,26.636363636363637,27.454545454545453,2024-03-26T19:45:00Z
Italy,Belgium,2,2,25.363636363636363,25.363636363636363,2024-10-10T18:45:00Z
Belgium,Italy,0,1,25.90909090909091,25.545454545454547,2024-11-14T19:45:00Z
France,Belgium,0,1,27.545454545454547,28.363636363636363,2024-07-01T16:00:00Z
France,Belgium,0,2,26.90909090909091,26.181818181818183,2024-09-09T18:45:00Z
Belgium,France,1,2,25.818181818181817,25.545454545454547,2024-10-14T18:45:00Z
Belgium,Romania,2,0,28.272727272727273,28.0,2024-06-22T19:00:00Z
Liechtenstein,Belgium,6,0,28.363636363636363,27.454545454545453,2025-09-04T18:45:00Z
Belgium,Liechtenstein,7,0,27.454545454545453,28.363636363636363,2025-11-18T19:45:00Z
Belgium,Montenegro,2,0,26.09090909090909,28.0,2024-06-05T18:30:00Z
Belgium,Slovakia,0,1,27.636363636363637,30.727272727272727,2024-06-17T16:00:00Z
Estonia,Belgium,3,0,27.454545454545453,26.727272727272727,2023-06-20T18:45:00Z
Belgium,Estonia,5,0,27.272727272727273,28.727272727272727,2023-09-12T18:45:00Z
North Macedonia,Belgium,1,1,28.272727272727273,28.454545454545453,2025-06-06T18:45:00Z
Belgium,North Macedonia,0,0,27.818181818181817,28.90909090909091,2025-10-10T18:45:00Z
Belgium,Luxembourg,3,0,29.09090909090909,28.272727272727273,2024-06-08T18:00:00Z
Belgium,Egypt,1,2,28.545454545454547,29.545454545454547,2022-11-18T15:00:00Z
Belgium,Wales,4,3,28.454545454545453,27.727272727272727,2025-06-09T18:45:00Z
Wales,Belgium,4,2,27.181818181818183,27.181818181818183,2025-10-13T18:45:00Z
Wales,Belgium,1,1,27.181818181818183,28.818181818181817,2022-06-11T18:45:00Z
Belgium,Wales,2,1,29.636363636363637,25.181818181818183,2022-09-22T18:45:00Z
Belgium,Burkina Faso,3,0,26.545454545454547,26.90909090909091,2022-03-29T18:45:00Z
Ireland,Belgium,0,0,26.545454545454547,25.09090909090909,2024-03-23T17:00:00Z
Ireland,Belgium,2,2,28.181818181818183,27.181818181818183,2022-03-26T17:00:00Z
Croatia,Belgium,0,0,29.0,30.818181818181817,2022-12-01T15:00:00Z
Belgium,Poland,6,1,30.363636363636363,26.727272727272727,2022-06-08T18:45:00Z
Poland,Belgium,1,0,26.818181818181817,30.727272727272727,2022-06-14T18:45:00Z
Belgium,Kazakhstan,6,0,27.181818181818183,27.272727272727273,2025-09-07T18:45:00Z
Kazakhstan,Belgium,1,1,25.727272727272727,26.363636363636363,2025-11-15T14:00:00Z
Ukraine,Belgium,1,3,26.727272727272727,28.90909090909091,2025-03-20T19:45:00Z
Belgium,Ukraine,3,0,29.363636363636363,26.0,2025-03-23T19:45:00Z
Ukraine,Belgium,0,0,25.545454545454547,28.545454545454547,2024-06-26T16:00:00Z
Belgium,Serbia,1,0,23.636363636363637,27.181818181818183,2023-11-15T19:45:00Z
Belgium,Israel,3,1,26.454545454545453,25.454545454545453,2024-09-06T18:45:00Z
